game_id,league,season,split,1_224p.mkv,2_224p.mkv,Labels-v2.json,valid
epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,epl,2014-2015,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/Labels-v2.json,True
epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,epl,2014-2015,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/Labels-v2.json,True
epl_2014-2015_2015-02-21-18-00-swansea-2-1-manchester-united,epl,2014-2015,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/Labels-v2.json,True
epl_2014-2015_2015-02-22-19-15-southampton-0-2-liverpool,epl,2014-2015,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/Labels-v2.json,True
epl_2015-2016_2015-08-08-19-30-chelsea-2-2-swansea,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/Labels-v2.json,True
epl_2015-2016_2015-08-29-17-00-chelsea-1-2-crystal-palace,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/Labels-v2.json,True
epl_2015-2016_2015-08-29-17-00-manchester-city-2-0-watford,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/Labels-v2.json,True
epl_2015-2016_2015-09-12-14-45-everton-3-1-chelsea,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/Labels-v2.json,True
epl_2015-2016_2015-09-12-17-00-crystal-palace-0-1-manchester-city,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/Labels-v2.json,True
epl_2015-2016_2015-09-19-19-30-manchester-city-1-2-west-ham,epl,2015-2016,train,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/1_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/2_224p.mkv,/mnt/storage_C4/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/Labels-v2.json,True
