game_id,league,season,split,1_224p.mkv,2_224p.mkv,Labels-v2.json,valid
epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,epl,2014-2015,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/Labels-v2.json,True
epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,epl,2014-2015,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/Labels-v2.json,True
epl_2014-2015_2015-02-21-18-00-swansea-2-1-manchester-united,epl,2014-2015,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United/Labels-v2.json,True
epl_2014-2015_2015-02-22-19-15-southampton-0-2-liverpool,epl,2014-2015,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool/Labels-v2.json,True
epl_2015-2016_2015-08-08-19-30-chelsea-2-2-swansea,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea/Labels-v2.json,True
epl_2015-2016_2015-08-29-17-00-chelsea-1-2-crystal-palace,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace/Labels-v2.json,True
epl_2015-2016_2015-08-29-17-00-manchester-city-2-0-watford,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford/Labels-v2.json,True
epl_2015-2016_2015-09-12-14-45-everton-3-1-chelsea,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 14-45 Everton 3 - 1 Chelsea/Labels-v2.json,True
epl_2015-2016_2015-09-12-17-00-crystal-palace-0-1-manchester-city,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-12 - 17-00 Crystal Palace 0 - 1 Manchester City/Labels-v2.json,True
epl_2015-2016_2015-09-19-19-30-manchester-city-1-2-west-ham,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-19 - 19-30 Manchester City 1 - 2 West Ham/Labels-v2.json,True
epl_2015-2016_2015-09-26-17-00-liverpool-3-2-aston-villa,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa/Labels-v2.json,True
epl_2015-2016_2015-10-17-17-00-chelsea-2-0-aston-villa,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa/Labels-v2.json,True
epl_2015-2016_2015-10-31-15-45-chelsea-1-3-liverpool,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool/Labels-v2.json,True
epl_2015-2016_2015-11-07-18-00-manchester-united-2-0-west-brom,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom/Labels-v2.json,True
epl_2015-2016_2015-11-21-20-30-manchester-city-1-4-liverpool,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool/Labels-v2.json,True
epl_2015-2016_2015-11-29-15-00-tottenham-0-0-chelsea,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-29 - 15-00 Tottenham 0 - 0 Chelsea/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-29 - 15-00 Tottenham 0 - 0 Chelsea/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-11-29 - 15-00 Tottenham 0 - 0 Chelsea/Labels-v2.json,True
epl_2015-2016_2015-12-05-20-30-chelsea-0-1-bournemouth,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-05 - 20-30 Chelsea 0 - 1 Bournemouth/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-05 - 20-30 Chelsea 0 - 1 Bournemouth/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-05 - 20-30 Chelsea 0 - 1 Bournemouth/Labels-v2.json,True
epl_2015-2016_2015-12-19-18-00-chelsea-3-1-sunderland,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland/Labels-v2.json,True
epl_2015-2016_2015-12-26-18-00-manchester-city-4-1-sunderland,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-26 - 18-00 Manchester City 4 - 1 Sunderland/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-26 - 18-00 Manchester City 4 - 1 Sunderland/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2015-12-26 - 18-00 Manchester City 4 - 1 Sunderland/Labels-v2.json,True
epl_2015-2016_2016-01-03-16-30-crystal-palace-0-3-chelsea,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-03 - 16-30 Crystal Palace 0 - 3 Chelsea/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-03 - 16-30 Crystal Palace 0 - 3 Chelsea/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-03 - 16-30 Crystal Palace 0 - 3 Chelsea/Labels-v2.json,True
epl_2015-2016_2016-01-13-22-45-chelsea-2-2-west-brom,epl,2015-2016,train,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom/1_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom/2_224p.mkv,/home/al.pedro.santos/gaussian_football/data/raw/england_epl/2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom/Labels-v2.json,True
