clip_path,mel_path,arousal_score,game_id,season,split
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_94.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_94.npy,0.6036659037253022,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_95.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_95.npy,0.9368925840077078,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_96.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_96.npy,1.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_97.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_97.npy,0.9608612343271888,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_98.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_98.npy,0.6511923044386482,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_257.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_257.npy,0.7276010628610043,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_258.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_258.npy,0.9882351129927418,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_259.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_259.npy,1.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_260.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_260.npy,0.8869618759570276,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_261.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_261.npy,0.5260503837603013,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_229.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_229.npy,2.6522734559590566e-77,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_193.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_193.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_0.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_0.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_108.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_108.npy,1.8993912843019283e-12,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/video/clip_238.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_1/mel_spectograma/clip_238.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_183.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_183.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_273.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_273.npy,1.0887956202557048e-17,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_44.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_44.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_221.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_221.npy,6.33641954093353e-125,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/video/clip_23.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley/half_2/mel_spectograma/clip_23.npy,0.0,epl_2014-2015_2015-02-21-18-00-chelsea-1-1-burnley,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_49.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_49.npy,0.8672313941243109,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_50.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_50.npy,1.0,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_51.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_51.npy,0.992144542062108,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_52.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_52.npy,0.7348672461377995,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_321.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_321.npy,0.8161794107637977,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_322.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_322.npy,1.0,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_323.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_323.npy,0.999758505880152,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_324.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_324.npy,0.7928637593840222,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_321.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_321.npy,0.681348117465172,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_322.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_322.npy,0.9857296999577284,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_323.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_323.npy,1.0,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_324.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_324.npy,0.8628439420195155,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_36.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_36.npy,0.0,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/video/clip_192.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_1/mel_spectograma/clip_192.npy,0.0,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/video/clip_287.mp4,/mnt/storage_C4/gaussian_football/data/processed/epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal/half_2/mel_spectograma/clip_287.npy,1.2001092112911444e-135,epl_2014-2015_2015-02-21-18-00-crystal-palace-1-2-arsenal,2014-2015,train
